acresburned,adminunit,archiveyear,county,extinguished,fatalities,latitude,firelocation,longitude,firename,searchdescription,started,structuresdamaged,structuresdestroyed,structuresevacuated,structuresthreatened,timestarted,timeextinguished,dayofweekstartedname,dayofweekstartednum,duration,date_established,population_jul_2019,areasqmi,areakm2,popdensitypersqmi,caucus
32,CAL FIRE Tuolumne-Calaveras unit,2016,Tuolumne,2016-08-01 08:05:00+00:00,,37.81434,"Off Frymire Rd & Morrison Rd, east of Oakdale",-120.69521,Frymire Fire,"The Frymire Fire started on July 30, 2016 off Frymire Rd & Morrison Rd east of Oakdale (Tuolumne County).",2016-07-30 17:25:00+00:00,,,,,2016-07-30 17:25:00+00:00,2016-08-01 08:05:00+00:00,Sat,6,1.611111111,1850,55620,2236,5791,24.87477639,Rural
690,CAL FIRE Tuolumne-Calaveras Unit,2017,Tuolumne,2018-01-09 12:09:00+00:00,,37.905545,"Jacksonville Road, south of Jamestown",-120.408135,Jacksonville Fire,"The Jacksonville Fire started July 29th 1017 off Jacksonville Road, south of Jamestown (Tuolumne County) and burned 690 acres.",2017-07-29 13:50:00+00:00,,,,,2017-07-29 13:50:00+00:00,2018-01-09 12:09:00+00:00,Sat,6,163.9298611,1850,55620,2236,5791,24.87477639,Rural
124,CAL FIRE Tuolumne-Calaveras Unit ,2017,Tuolumne,2018-01-09 12:14:00+00:00,,37.90014,"Twist Road south of Algerine Road, Jamestown",-120.36005,Twist Fire,"The Twist Fire Started on July 30 2017 off Twist Road south of Algerine Road, Jamestown (Tuolumne County) and burned 124 acres.",2017-07-30 16:28:00+00:00,,,,,2017-07-30 16:28:00+00:00,2018-01-09 12:14:00+00:00,Sun,0,162.8236111,1850,55620,2236,5791,24.87477639,Rural
39,CAL FIRE Tuolumne-Calaveras Unit,2017,"Tuolumne, Siskiyou, El Dorado",2018-03-26 10:49:00+00:00,,37.896778,"On Table Mountain, west of Table Mountain Road and Chicken Ranch Road, Jamestown",-120.504134,Table Fire,"The Table Fire started on September 19, 2017 On Table Mountain, west of Table Mountain Road and Chicken Ranch Road, Jamestown (Tuolumne County)and burned 39 acres. ",2017-09-19 00:22:00+00:00,,,,,2017-09-19 00:22:00+00:00,2018-03-26 10:49:00+00:00,Tue,2,188.4354167,1850,55620,2236,5791,24.87477639,"Rural, Rural, Rural"
38,CAL FIRE Tuolumne-Calaveras Unit,2017,"Tuolumne, Humboldt, San Luis Obispo, Madera",2018-01-09 10:31:00+00:00,,37.85137,"Red Hills Road & Six Bit Gulch Road, 2 miles southwest of Chinese Camp",-120.45268,Red Fire,"The Red Fire started on June 11, 2017 off Red Hills Road and Six Bit Gulch Road, 2 miles southwest of Chinese Camp in Tuolumne County and burned 38 acres.",2017-06-11 18:49:00+00:00,,,,,2017-06-11 18:49:00+00:00,2018-01-09 10:31:00+00:00,Sun,0,211.6541667,1850,55620,2236,5791,24.87477639,"Rural, Rural, Suburban, Rural"
20,CAL FIRE Tuolumne-Calaveras Unit,2017,"Tuolumne, Riverside",2018-01-09 12:16:00+00:00,,37.65986,"Off Merced Falls Rd, northwest of Lake McClure ",-120.31157,Falls Fire,"The Falls Fire started on August 8, 2017 off Merced Falls Rd, northwest of Lake McClure (Tuolumne County) and burned 20 acres.",2017-08-01 16:33:00+00:00,,,,,2017-08-01 16:33:00+00:00,2018-01-09 12:16:00+00:00,Tue,2,160.8215278,1850,55620,2236,5791,24.87477639,"Rural, Urban"
36450,Stanislaus National Forest,2018,Tuolumne,2019-01-04 09:26:00+00:00,,38.349,"Near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness",-119.929,Donnell Fire,"The Donnell Fire started on August 1, 2018 near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness (Tuolumne County) and 36,450 acres.",2018-08-01 17:48:00+00:00,,,,,2018-08-01 17:48:00+00:00,2019-01-04 09:26:00+00:00,Wed,3,155.6513889,1850,55620,2236,5791,24.87477639,Rural
163,CAL FIRE Tuolumne-Calaveras Unit,2018,"Tuolumne, Fresno, Trinity",2019-01-04 10:01:00+00:00,,37.80785,"Hwy 49 & Marshes Flat Rd, in the Community of Moccasin ",-120.30187,Flat Fire,"The Flat Fire started on June 24, 2018 off Hwy 49 & Marshes Flat Rd, in the Community of Moccasin (Tuolumne County).",2018-06-24 13:54:00+00:00,,,,,2018-06-24 13:54:00+00:00,2019-01-04 10:01:00+00:00,Sun,0,193.8381944,1850,55620,2236,5791,24.87477639,"Rural, Urban, Rural"
21,CAL FIRE TCU,2019,Tuolumne,2019-08-08 17:12:00+00:00,,37.949747,"10,000 Block Preston Lane, Jamestown",-120.420058,Preston Fire,"The Preston Fire started August 8 2019 in the 10000 Block Preston Lane, Jamestown Tuolumne County",2019-08-08 16:16:40+00:00,,,,,2019-08-08 16:16:40+00:00,2019-08-08 17:12:00+00:00,Thu,4,0.038425926,1850,55620,2236,5791,24.87477639,Rural
30274,USFS Angeles National Forest/Los Angeles County/CAL FIRE,2013,Los Angeles,2013-06-08 18:30:00+00:00,,34.585595,Angeles National Forest,-118.423176,Powerhouse Fire,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,2013-05-30 15:28:00+00:00,,,,,2013-05-30 15:28:00+00:00,2013-06-08 18:30:00+00:00,Thu,4,9.126388889,1850,10014009,4060,10515,2466.50468,Urban
712,CAL FIRE/Los Angeles County ,2013,"Los Angeles, Los Angeles, Fresno, Shasta, San Diego, San Bernardino, Stanislaus, Lake",2013-05-18 19:00:00+00:00,,34.49149,I-5 Southbound at Lake Hughes Road,-118.610044,Lake Fire,"The Lake Fire burned in May 2013 off I-5 Southbound at Lake Hughes Road, in Los Angeles County. ",2013-05-17 13:23:00+00:00,,,,,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,Fri,5,1.234027778,1850,10014009,4060,10515,2466.50468,"Urban, Urban, Urban, Suburban, Urban, Urban, Suburban, Rural"
268,Angeles National Forest/Los Angeles County Fire,2013,Los Angeles,2013-09-28 08:00:00+00:00,,34.149,San Gabriel Canyon 1/4 mile west of the entrance station,-117.908,Madre Fire,The Madre Fire burned September 2013 in the San Gabriel Canyon in Los Angeles County.,2013-09-23 18:00:00+00:00,,,,,2013-09-23 18:00:00+00:00,2013-09-28 08:00:00+00:00,Mon,1,4.583333333,1850,10014009,4060,10515,2466.50468,Urban
149,Los Angeles County Fire Department,2013,Los Angeles,2013-05-29 15:30:00+00:00,,34.419284,off Magic Mtn Parkway in Valencia,-118.58688,Magic Fire,"The Magic Fire burned in May 2013, off Magic Mountain Parkway in Valencia in Los Angeles County. ",2013-05-28 11:30:00+00:00,,,,,2013-05-28 11:30:00+00:00,2013-05-29 15:30:00+00:00,Tue,2,1.166666667,1850,10014009,4060,10515,2466.50468,Urban
1952,Angeles National Forest and LA County Fire Department,2014,Los Angeles,2014-01-27 10:00:00+00:00,,34.1703,"near Morris Reservoir, north of Glendora",-117.8816,Colby Fire,"The Colby Fire started on January 16, 2014 and burned 1,952 acres near Morris Reservoir, north of Glendora in Los Angeles County. ",2014-01-16 05:50:00+00:00,,,,,2014-01-16 05:50:00+00:00,2014-01-27 10:00:00+00:00,Thu,4,11.17361111,1850,10014009,4060,10515,2466.50468,Urban
274,US Forest Service - Angeles National Forest,2014,Los Angeles,2014-12-12 13:30:00+00:00,,34.267,"18 miles north of Glendora, off Highway 39 and mile marker 28.",-117.867,Tecolote Fire,"The Tecolote Fire started August 17, 2014 burned 274 acres 18 miles north of Glendora, off Highway 39 and mile marker 28 on the Angeles National Forest in Los Angeles County.",2014-08-17 14:30:00+00:00,,,,,2014-08-17 14:30:00+00:00,2014-12-12 13:30:00+00:00,Sun,0,116.9583333,1850,10014009,4060,10515,2466.50468,Urban
190,US Forest Service - Angeles National Forest,2014,Los Angeles,2014-12-12 14:00:00+00:00,,34.235,"upper end of East Fork San Gabriel River, North of Glendora",-117.771,Shoemaker Fire,"The Shoemaker Fire started on August 14, 2014 and burned 190 acres on the upper end of East Fork of the San Gabriel River, north of Glendora on the Angeles National Forest in Los Angeles County.",2014-08-14 12:48:00+00:00,,,,,2014-08-14 12:48:00+00:00,2014-12-12 14:00:00+00:00,Thu,4,120.05,1850,10014009,4060,10515,2466.50468,Urban
415,Los Angeles County Fire ,2015,Los Angeles,2015-06-26 17:00:00+00:00,,34.361007,"Southbound Interstate 5, North of Calgrove, Santa Clarita ",-118.535793,Calgrove Fire ,"The Calgrove Fire started on June 24 and burned 415 acres off Southbound Interstate 5, North of Calgrove in Santa Clarita (Los Angeles County.",2015-06-24 13:22:00+00:00,,,,,2015-06-24 13:22:00+00:00,2015-06-26 17:00:00+00:00,Wed,3,2.151388889,1850,10014009,4060,10515,2466.50468,Urban
200,USFS - Angeles National Forest ,2015,Los Angeles,2015-08-04 08:15:00+00:00,,34.367,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,-117.683,Pines Fire ,The Pines Fire started on July 17 off Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines on the Angeles National Forest in Los Angeles County and burned 200 acres. ,2015-07-17 21:30:00+00:00,,,,,2015-07-17 21:30:00+00:00,2015-08-04 08:15:00+00:00,Fri,5,17.44791667,1850,10014009,4060,10515,2466.50468,Urban
4824,Angeles National Forest ,2016,Los Angeles,2016-11-14 14:00:00+00:00,,34.31,Lake View Terrace,-118.335,Marek Fire,The Marek Fire started north of Lake View Terrace in the Los Angeles National Forest. ,2016-11-14 05:45:00+00:00,,,,,2016-11-14 05:45:00+00:00,2016-11-14 14:00:00+00:00,Mon,1,0.34375,1850,10014009,4060,10515,2466.50468,Urban
1109,Los Angeles County Fire,2016,Los Angeles,2016-07-16 12:00:00+00:00,,34.36763,"off of Calgrove Blvd, southwest of Santa Clarita",-118.57245,Sage Fire,"The Sage Fire started on July 9, 2016 off of Calgrove Blvd, southwest of Santa Clarita (Los Angeles County)",2016-07-09 12:04:00+00:00,,,,,2016-07-09 12:04:00+00:00,2016-07-16 12:00:00+00:00,Sat,6,6.997222222,1850,10014009,4060,10515,2466.50468,Urban
156,LA County Fire Department/Angeles National Forest,2016,Los Angeles,2016-05-25 18:45:00+00:00,,34.276,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",-118.354,Wheatland Fire,"The Wheatland Fire started on May 23, southeast of the Lakeview Terrace, Los Angeles County and burned 156 acres.",2016-05-23 14:15:00+00:00,,,,,2016-05-23 14:15:00+00:00,2016-05-25 18:45:00+00:00,Mon,1,2.1875,1850,10014009,4060,10515,2466.50468,Urban
0,Los Angeles County Fire,2016,"Los Angeles, Los Angeles",2016-04-19 15:30:00+00:00,,34.6888731,off northbound Interstate 5 at Gorman Creek,-118.7892593,Gorman Fire,"The Gorman Fire burned off northbound Interstate 5 at Gorman Creek on April 19, 2016, in Los Angeles County.",2016-04-19 13:09:00+00:00,,,,,2016-04-19 13:09:00+00:00,2016-04-19 15:30:00+00:00,Tue,2,0.097916667,1850,10014009,4060,10515,2466.50468,"Urban, Urban"
15619,Angeles National Forest,2017,"Los Angeles, Fresno, Fresno, Shasta, San Bernardino, San Luis Obispo, San Luis Obispo, Napa, Alameda, Glenn, Yolo, Stanislaus, Lake",2018-08-06 10:52:00+00:00,,34.31283,"Kagel Canyon Rd, north of Lake View terrace ",-118.35863,Creek Fire,"The Creek Fire started on December 5, 2017 off Kagel Canyon Road, north of Lake View Terrace in Los Angeles County.",2017-12-05 03:44:00+00:00,26,37,,,2017-12-05 03:44:00+00:00,2018-08-06 10:52:00+00:00,Tue,2,244.2972222,1850,10014009,4060,10515,2466.50468,"Urban, Urban, Urban, Suburban, Urban, Suburban, Suburban, Suburban, Urban, Rural, Suburban, Suburban, Rural"
7194,"LA City, Burbank Fire Department",2017,Los Angeles,2018-01-09 12:49:00+00:00,,34.22957,"Lowell Ave and I-210, Verdugo Hills, Los Angeles City",-118.2674,La Tuna Fire ,"The La Tuna Fire started September 1 2017 off  LOWELL AVE and I-210, VERDUGO HILLS, LOS ANGELES CITY (Los Angeles County) and burned 7,194 acres.",2017-09-01 13:26:00+00:00,,,,,2017-09-01 13:26:00+00:00,2018-01-09 12:49:00+00:00,Fri,5,129.9743056,1850,10014009,4060,10515,2466.50468,Urban
6049,"Unified Command: CAL FIRE, Los Angeles County Fire, Ventura County Fire, Los Angeles County Sheriff's Office, and Ventura County Sheriff's Office",2017,Los Angeles,2018-01-18 09:58:00+00:00,,34.45283,"along Rye Canyon Loop, west Valencia",-118.58188,Rye Fire,"The Rye fire started on December 5, 2017 off Rye Canyon Loop, west of Valencia in Los Angeles County and burned 6,049 acres. It was contained on December 12, 2017.",2017-12-05 11:31:00+00:00,3,6,,,2017-12-05 11:31:00+00:00,2018-01-18 09:58:00+00:00,Tue,2,43.93541667,1850,10014009,4060,10515,2466.50468,Urban
760,LA County Fire Department,2017,Los Angeles,2018-01-09 11:08:00+00:00,,34.37443,"Off Hwy 14 & Placerita Canyon Rd, in Santa Clarita",-118.49343,Placerita Fire,"The Placerita Fire started on June 25, 2017 off Hwy 14 & Placerita Canyon Rd, in Santa Clarita (Los Angeles County) and burned 760 acres.",2017-06-25 12:47:00+00:00,,,,,2017-06-25 12:47:00+00:00,2018-01-09 11:08:00+00:00,Sun,0,197.93125,1850,10014009,4060,10515,2466.50468,Urban
422,Los Angeles City Fire,2017,Los Angeles,2018-01-23 08:11:00+00:00,,34.09454,N Sepulveda Blvd at I-405,-118.48178,Skirball Fire,"The Skirball Fire started on December 6, 2017 off N Sepulveda Blvd at I-405 and burned 422 acres. It was contained on December 15, 2017. ",2017-12-06 06:31:00+00:00,,,,,2017-12-06 06:31:00+00:00,2018-01-23 08:11:00+00:00,Wed,3,48.06944444,1850,10014009,4060,10515,2466.50468,Urban
55,Los Angeles County Fire Department,2017,Los Angeles,2018-01-09 11:11:00+00:00,,34.03941,Off Topanga Canyon & Pacific Coast Hwy in Malibu,-118.58624,Topanga Fire,"The Topanga Fire started on June 29, 2017 off Topanga Canyon & Pacific Coast Hwy in Malibu (Los Angeles County) and burned 55 acres.",2017-06-29 15:09:00+00:00,,,,,2017-06-29 15:09:00+00:00,2018-01-09 11:11:00+00:00,Thu,4,193.8347222,1850,10014009,4060,10515,2466.50468,Urban
50,Angeles National Forest,2017,"Los Angeles, Tehama, San Diego",2018-01-09 13:40:00+00:00,,34.22551,off Mount Wilson Circle near the Mount Wilson Observatory ,-118.05545,Wilson Fire,"The Wilson Fire started October 17, 2017 off Mount Wilson Circle near the Mount Wilson Observatory and burned 50 acres. ",2017-10-17 03:43:00+00:00,,,,,2017-10-17 03:43:00+00:00,2018-01-09 13:40:00+00:00,Tue,2,84.41458333,1850,10014009,4060,10515,2466.50468,"Urban, Rural, Urban"
41,Los Angeles County Fire Department,2017,Los Angeles,2018-01-09 11:11:00+00:00,,34.10446,Stokes Rd. and Mulholland Dr in Calabasas ,-118.70294,Stokes Fire,"The Stokes Fire started on June 29, 2017 off Stokes Rd. and Mulholland Dr. in Calabasas Los Angeles County and burned 41 acres.
",2017-06-29 15:45:00+00:00,,,,,2017-06-29 15:45:00+00:00,2018-01-09 11:11:00+00:00,Thu,4,193.8097222,1850,10014009,4060,10515,2466.50468,Urban
30,Los Angeles County Fire,2017,Los Angeles,2018-03-22 16:34:00+00:00,,34.52055,"I-5, north of Hughes Rd., 2 miles north of Lake Hughes",-118.62882,Castaic Fire,"The Castaic fire started on August 31, 2017, on I-5 north, north of Hughes Rd., north of Lake Hughes and burned 30 acres.",2017-08-31 16:32:00+00:00,,,,,2017-08-31 16:32:00+00:00,2018-03-22 16:34:00+00:00,Thu,4,203.0013889,1850,10014009,4060,10515,2466.50468,Urban
25,Los Angeles County Fire Department,2017,Los Angeles,2018-01-09 10:24:00+00:00,,34.29931,"I-5, North of Lake Hughes Rd, Community of Cataic ",-118.37539,5 Fire,"The 5 Fire started on June 3, 2017 I-5, North of Lake Hughes Rd, Community of Cataic in Los Angeles County and burned 25 acres.",2017-06-03 15:39:00+00:00,,,,,2017-06-03 15:39:00+00:00,2018-01-09 10:24:00+00:00,Sat,6,219.78125,1850,10014009,4060,10515,2466.50468,Urban
10,Angeles National Forest,2017,"Los Angeles, Santa Cruz",2018-01-09 12:18:00+00:00,,34.23925,"off Hwy 39 & East Fork Ave, north of Azusa",-117.85182,Rincon Fire,"The Rincon Fire started on August 3, 2017 off Hwy 39 & East Fork Ave, north of Azusa (Los Angeles County) and burned 10 acres.",2017-08-03 16:21:00+00:00,,,,,2017-08-03 16:21:00+00:00,2018-01-09 12:18:00+00:00,Thu,4,158.83125,1850,10014009,4060,10515,2466.50468,"Urban, Suburban"
96949,Ventura County Fire Dept. and Los Angeles County Fire Dept.,2018,"Los Angeles, Ventura",2019-01-04 08:42:00+00:00,3,34.235,"E Street and Alfa Road Rd, South of Simi Valley",-118.70128,Woolsey Fire,"The Woolsey fire started on November 8, 2018 near E Street and Alfa Road Rd, South of Simi Valley (Ventura County). It burned 96,949 acres, and was contained on November 21, 2018.",2018-11-08 14:24:00+00:00,341,1643,,,2018-11-08 14:24:00+00:00,2019-01-04 08:42:00+00:00,Thu,4,56.7625,1850,10014009,4060,10515,2466.50468,"Urban, Urban"
3380,US Forest Service - Angeles National Forest,2018,Los Angeles,2019-01-04 09:03:00+00:00,,34.48229,"Charlie Canyon Rd  and Tapia Canyon Rd, Castaic",-118.60858,Charlie Fire,"The Charlie Fire started on September 22 2018 near Charlie Canyon Rd and Tapia Canyon Rd, Castaic (Los Angeles County). It was contained on October 1, 2018 and burned 3,380 acres.",2018-09-22 14:30:00+00:00,,,,,2018-09-22 14:30:00+00:00,2019-01-04 09:03:00+00:00,Sat,6,103.7729167,1850,10014009,4060,10515,2466.50468,Urban
1352,Unified Command: US Forest Service and Los Angeles County FD,2018,"Los Angeles, Modoc, San Luis Obispo",2019-01-04 10:15:00+00:00,,34.5486,"off Anthony Road and Hierba Road, North of Agua Dulce",-118.31138,Stone Fire,"The Stone fire started June 4, 2018 off Anthony Road and Hierba Road, North of Agua Dulce (Los Angeles County) and burned 1,352 acres. It was contained on June 12, 2018.  ",2018-06-04 12:40:00+00:00,,,,,2018-06-04 12:40:00+00:00,2019-01-04 10:15:00+00:00,Mon,1,213.8993056,1850,10014009,4060,10515,2466.50468,"Urban, Rural, Suburban"
175,Los Angeles County,2018,"Los Angeles, Tehama, Calaveras",2019-01-04 10:08:00+00:00,,37.97638,"I-5 and Calgrove Blvd, Santa Clarita",-122.5275,South Fire,"The South Fire started on June 9, 2018 off I-5 and Calgrove Blvd, Santa Clarita (Los Angeles County) and burned 175 acres. It was contained on June 12, 2018. ",2018-06-09 14:45:00+00:00,,,,,2018-06-09 14:45:00+00:00,2019-01-04 10:08:00+00:00,Sat,6,208.8076389,1850,10014009,4060,10515,2466.50468,"Urban, Rural, Rural"
166,Angeles National Forest,2018,"Los Angeles, Tehama, Madera",2019-01-04 09:05:00+00:00,,34.2325,"East Fork Rd & San Gabriel Canyon Rd, Azusa",-117.846111,Fork Fire,"The Fork Fire started on September 9, 2018 off East Fork Rd & San Gabriel Canyon Rd, Azusa (Los Angeles County) and burned 166 acres. It was contained on September 11, 2018. ",2018-09-09 12:10:00+00:00,,,,,2018-09-09 12:10:00+00:00,2019-01-04 09:05:00+00:00,Sun,0,116.8715278,1850,10014009,4060,10515,2466.50468,"Urban, Rural, Rural"
128,Los Angeles County Fire Department ,2018,Los Angeles,2019-01-04 09:37:00+00:00,,34.38039,"off West Pico Canyon Rd and Potrero Canyon Rd, Stevenson Ranch area",-118.60441,Pico Fire,"The Pico Fire started on July 23, 2018 off West Pico Canyon Rd and Potrero Canyon Rd, Stevenson Ranch area (Los Angeles County). This fire was contained on July 23, 2018 and burned 128 acres.",2018-07-23 12:55:00+00:00,,,,,2018-07-23 12:55:00+00:00,2019-01-04 09:37:00+00:00,Mon,1,164.8625,1850,10014009,4060,10515,2466.50468,Urban
62,Los Padres National Forest,2018,"Los Angeles, Riverside, Riverside, Riverside, Riverside, Santa Barbara, Napa, Santa Clara, Orange",2019-01-04 10:01:00+00:00,,34.53765,North of Lake Piru,-118.75495,Canyon Fire,"The Canyon Fire started on June 23, 2018 north of Lake Piru (Los Angeles County).",2018-06-23 19:39:00+00:00,,,,,2018-06-23 19:39:00+00:00,2019-01-04 10:01:00+00:00,Sat,6,194.5986111,1850,10014009,4060,10515,2466.50468,"Urban, Urban, Urban, Urban, Urban, Suburban, Suburban, Urban, Urban"
20,Los Angeles City Fire Department,2018,Los Angeles,2019-01-04 10:07:00+00:00,,34.110516,off Westwanda Drive and Benedict Canyon Drive,-118.427886,Portola Fire ,"The Portola Fire started on June 12, 2018 off Westwanda Drive and Benedict Canyon Drive (Los Angeles County) and burned 20 acres. ",2018-06-12 14:56:00+00:00,,,,,2018-06-12 14:56:00+00:00,2019-01-04 10:07:00+00:00,Tue,2,205.7993056,1850,10014009,4060,10515,2466.50468,Urban
8799,Unified Command: Los Angeles County Fire Department and Los Angeles City Fire Department and Angeles National Forest,2019,Los Angeles,2019-10-31 09:10:00+00:00,1,34.32988,"Saddle Ridge Rd, Sylmar",-118.48161,Saddle Ridge Fire,"The Saddle Ridge Fire started October 10, 2019 off Saddle Ridge Rd, Sylmar in Los Angeles County.",2019-10-10 21:02:00+00:00,88,19,,,2019-10-10 21:02:00+00:00,2019-10-31 09:10:00+00:00,Thu,4,20.50555556,1850,10014009,4060,10515,2466.50468,Urban
745, Los Angeles Fire Department,2019,Los Angeles,2019-11-05 17:30:00+00:00,,34.098191,East Sepulveda Blvd and I-405 near Los Angeles City ,-118.478717,Getty Fire ,"The Getty Fire started October 28, 2019 off East Sepulveda Blvd and I-405 in Los Angeles county.",2019-10-28 06:46:55+00:00,,,,,2019-10-28 06:46:55+00:00,2019-11-05 17:30:00+00:00,Mon,1,8.446585648,1850,10014009,4060,10515,2466.50468,Urban
156,Angeles National Forest,2019,"Los Angeles, Kings",2019-08-05 12:25:00+00:00,,34.677864,Off Interstate 5 & Templin Hwy,-118.752395,Five Fire,,2019-08-03 17:01:15+00:00,,,,,2019-08-03 17:01:15+00:00,2019-08-05 12:25:00+00:00,Sat,6,1.808159722,1850,10014009,4060,10515,2466.50468,"Urban, Rural"
